Month,EFPG_name,Unit_value_mean_wtd,Unit_value_se_wtd,Unit_value_mean_unwtd,Price_index_GEKS
1,Whole-grain breads,0.537,0.0011,0.533,1.003026987
2,Whole-grain breads,0.542,0.0011,0.536,1.013078118
3,Whole-grain breads,0.546,0.001,0.541,1.015321149
4,Whole-grain breads,0.55,0.0009,0.545,1.022633092
5,Whole-grain breads,0.555,0.0009,0.55,1.022397799
6,Whole-grain breads,0.554,0.001,0.548,1.022651532
7,Whole-grain breads,0.557,0.001,0.553,1.031793799
8,Whole-grain breads,0.554,0.001,0.546,1.0214562
9,Whole-grain breads,0.555,0.0009,0.549,1.03026785
10,Whole-grain breads,0.56,0.0011,0.554,1.041211978
11,Whole-grain breads,0.554,0.0009,0.552,1.035610787
12,Whole-grain breads,0.56,0.001,0.553,1.047452411
1,Whole-grain breads,0.586,0.0024,0.583,1.045382852
2,Whole-grain breads,0.592,0.0023,0.589,1.054789185
3,Whole-grain breads,0.596,0.0025,0.589,1.060774219
4,Whole-grain breads,0.604,0.0023,0.601,1.061680075
5,Whole-grain breads,0.608,0.0021,0.606,1.054876103
6,Whole-grain breads,0.61,0.0022,0.606,1.056449063
7,Whole-grain breads,0.608,0.0019,0.604,1.065327421
8,Whole-grain breads,0.603,0.0019,0.595,1.060714607
9,Whole-grain breads,0.602,0.0019,0.597,1.062431128
10,Whole-grain breads,0.602,0.002,0.597,1.066995125
11,Whole-grain breads,0.6,0.0019,0.6,1.064448321
12,Whole-grain breads,0.603,0.002,0.601,1.074914492
1,Whole-grain breads,0.464,0.0018,0.463,0.961808871
2,Whole-grain breads,0.465,0.0019,0.466,0.966105833
3,Whole-grain breads,0.469,0.0019,0.471,0.969889941
4,Whole-grain breads,0.473,0.0019,0.477,0.978080073
5,Whole-grain breads,0.476,0.0018,0.477,0.978275316
6,Whole-grain breads,0.475,0.0017,0.477,0.984913061
7,Whole-grain breads,0.477,0.0018,0.482,0.9882489
8,Whole-grain breads,0.476,0.0019,0.479,0.982321565
9,Whole-grain breads,0.48,0.0017,0.483,0.988938923
10,Whole-grain breads,0.48,0.0019,0.482,0.994597079
11,Whole-grain breads,0.478,0.0018,0.48,1.003976108
12,Whole-grain breads,0.481,0.0023,0.48,1.00938483
1,Whole-grain breads,0.542,0.0009,0.542,0.982329111
2,Whole-grain breads,0.554,0.0009,0.548,0.997989316
3,Whole-grain breads,0.555,0.0009,0.551,0.99637457
4,Whole-grain breads,0.561,0.0008,0.554,1.005796451
5,Whole-grain breads,0.566,0.0009,0.559,1.003732337
6,Whole-grain breads,0.56,0.0008,0.553,1.003573915
7,Whole-grain breads,0.566,0.0009,0.562,1.01509872
8,Whole-grain breads,0.562,0.0008,0.552,1.002981219
9,Whole-grain breads,0.56,0.0007,0.553,1.012234676
10,Whole-grain breads,0.573,0.001,0.57,1.025203356
11,Whole-grain breads,0.562,0.0008,0.561,1.019854375
12,Whole-grain breads,0.567,0.0008,0.563,1.030117156
1,Whole-grain breads,0.553,0.0038,0.541,1.017567872
2,Whole-grain breads,0.555,0.0034,0.541,1.041983007
3,Whole-grain breads,0.562,0.0026,0.547,1.023925127
4,Whole-grain breads,0.563,0.0024,0.551,1.027302753
5,Whole-grain breads,0.571,0.0024,0.556,1.026792396
6,Whole-grain breads,0.569,0.0026,0.557,1.025309593
7,Whole-grain breads,0.574,0.0027,0.559,1.038261776
8,Whole-grain breads,0.572,0.0026,0.558,1.022632905
9,Whole-grain breads,0.577,0.0025,0.563,1.041428968
10,Whole-grain breads,0.585,0.0032,0.568,1.049677298
11,Whole-grain breads,0.577,0.0031,0.57,1.036778923
12,Whole-grain breads,0.587,0.003,0.569,1.061382606
1,Whole-grain breads,0.543,0.0096,0.519,0.989841084
2,Whole-grain breads,0.536,0.011,0.508,0.990149423
3,Whole-grain breads,0.549,0.0147,0.515,1.006102103
4,Whole-grain breads,0.542,0.0112,0.515,1.004530813
5,Whole-grain breads,0.548,0.0127,0.519,0.999656506
6,Whole-grain breads,0.536,0.0095,0.511,0.982707337
7,Whole-grain breads,0.556,0.0129,0.526,1.026137353
8,Whole-grain breads,0.531,0.0079,0.509,0.966463648
9,Whole-grain breads,0.538,0.0079,0.517,0.994697629
10,Whole-grain breads,0.57,0.0139,0.537,1.041666451
11,Whole-grain breads,0.55,0.0091,0.527,1.010649064
12,Whole-grain breads,0.55,0.0098,0.526,1.025822577
1,Whole-grain breads,0.634,0.0042,0.625,1.087674122
2,Whole-grain breads,0.634,0.0041,0.621,1.086296136
3,Whole-grain breads,0.636,0.0037,0.626,1.095336893
4,Whole-grain breads,0.639,0.0053,0.619,1.099839654
5,Whole-grain breads,0.638,0.0043,0.622,1.082163853
6,Whole-grain breads,0.643,0.0047,0.629,1.095425884
7,Whole-grain breads,0.636,0.0041,0.625,1.093785859
8,Whole-grain breads,0.625,0.0037,0.614,1.07484141
9,Whole-grain breads,0.629,0.0046,0.61,1.088816673
10,Whole-grain breads,0.621,0.0037,0.608,1.085832777
11,Whole-grain breads,0.629,0.003,0.616,1.09424635
12,Whole-grain breads,0.625,0.0037,0.607,1.095460494
1,Whole-grain breads,0.446,0.0078,0.455,0.942692897
2,Whole-grain breads,0.458,0.0084,0.474,0.970461904
3,Whole-grain breads,0.463,0.0102,0.47,0.967080492
4,Whole-grain breads,0.46,0.0089,0.473,0.976907123
5,Whole-grain breads,0.454,0.0071,0.467,0.952440394
6,Whole-grain breads,0.455,0.0082,0.468,0.963689399
7,Whole-grain breads,0.457,0.0085,0.48,0.972583119
8,Whole-grain breads,0.453,0.0085,0.467,0.964038286
9,Whole-grain breads,0.456,0.008,0.468,0.965032052
10,Whole-grain breads,0.465,0.0088,0.474,0.973192157
11,Whole-grain breads,0.462,0.0081,0.473,0.969866221
12,Whole-grain breads,0.465,0.0088,0.477,0.99555673
1,Whole-grain breads,0.542,0.002,0.531,0.974050574
2,Whole-grain breads,0.547,0.0017,0.54,0.975261565
3,Whole-grain breads,0.547,0.0021,0.538,0.970390663
4,Whole-grain breads,0.556,0.0018,0.547,0.988910789
5,Whole-grain breads,0.556,0.0017,0.547,0.979657103
6,Whole-grain breads,0.562,0.0024,0.55,0.987463605
7,Whole-grain breads,0.558,0.0014,0.551,0.97909819
8,Whole-grain breads,0.561,0.0022,0.55,0.983950861
9,Whole-grain breads,0.565,0.002,0.556,0.986482459
10,Whole-grain breads,0.569,0.0021,0.558,1.00045418
11,Whole-grain breads,0.577,0.0026,0.563,1.019226726
12,Whole-grain breads,0.567,0.0022,0.555,1.00666087
1,Whole-grain breads,0.409,0.01,0.406,0.950962857
2,Whole-grain breads,0.406,0.0107,0.401,0.939668426
3,Whole-grain breads,0.417,0.0078,0.422,0.947439415
4,Whole-grain breads,0.42,0.0075,0.424,0.961009643
5,Whole-grain breads,0.419,0.0136,0.415,0.951781401
6,Whole-grain breads,0.415,0.0075,0.414,0.952358697
7,Whole-grain breads,0.421,0.0097,0.425,0.962057545
8,Whole-grain breads,0.424,0.0141,0.423,0.952424987
9,Whole-grain breads,0.432,0.01,0.434,0.966158972
10,Whole-grain breads,0.434,0.015,0.432,0.958626118
11,Whole-grain breads,0.424,0.0124,0.421,0.962563204
12,Whole-grain breads,0.42,0.0198,0.417,0.975324954
1,Whole-grain breads,0.519,0.0068,0.516,0.971254033
2,Whole-grain breads,0.524,0.0055,0.529,0.954197371
3,Whole-grain breads,0.546,0.0043,0.529,0.985826227
4,Whole-grain breads,0.549,0.0037,0.535,1.000396231
5,Whole-grain breads,0.548,0.0041,0.532,0.990749326
6,Whole-grain breads,0.548,0.0063,0.527,0.993022771
7,Whole-grain breads,0.55,0.0037,0.538,0.99116844
8,Whole-grain breads,0.563,0.0044,0.537,1.000106279
9,Whole-grain breads,0.562,0.0038,0.542,0.996770961
10,Whole-grain breads,0.561,0.0048,0.548,1.007481271
11,Whole-grain breads,0.57,0.0066,0.548,1.017424966
12,Whole-grain breads,0.557,0.0054,0.541,1.005854309
1,Whole-grain breads,0.54,0.0169,0.541,1.035128608
2,Whole-grain breads,0.549,0.0161,0.54,1.054111765
3,Whole-grain breads,0.558,0.0123,0.547,1.026614989
4,Whole-grain breads,0.558,0.0116,0.541,1.050083221
5,Whole-grain breads,0.567,0.0118,0.553,1.058332668
6,Whole-grain breads,0.569,0.0134,0.55,1.054320942
7,Whole-grain breads,0.571,0.0137,0.55,1.065023699
8,Whole-grain breads,0.569,0.0129,0.549,1.046377242
9,Whole-grain breads,0.575,0.0131,0.556,1.055674158
10,Whole-grain breads,0.595,0.0181,0.569,1.08512909
11,Whole-grain breads,0.588,0.0182,0.569,1.063798646
12,Whole-grain breads,0.593,0.017,0.567,1.072464602
1,Whole-grain breads,0.548,0.0039,0.594,0.959240371
2,Whole-grain breads,0.576,0.0035,0.594,1.008190511
3,Whole-grain breads,0.592,0.0045,0.625,1.015872996
4,Whole-grain breads,0.592,0.0021,0.599,1.009899896
5,Whole-grain breads,0.603,0.0023,0.61,0.999802175
6,Whole-grain breads,0.578,0.0024,0.586,0.991922258
7,Whole-grain breads,0.607,0.0045,0.624,1.034907294
8,Whole-grain breads,0.573,0.0021,0.579,0.98451922
9,Whole-grain breads,0.576,0.0017,0.579,1.000002862
10,Whole-grain breads,0.613,0.0053,0.635,1.039561704
11,Whole-grain breads,0.585,0.0046,0.604,1.000336734
12,Whole-grain breads,0.592,0.0026,0.601,1.029070289
1,Whole-grain breads,0.587,0.0059,0.569,1.078196423
2,Whole-grain breads,0.592,0.0056,0.577,1.095424636
3,Whole-grain breads,0.601,0.0061,0.576,1.106427082
4,Whole-grain breads,0.608,0.0056,0.601,1.101214461
5,Whole-grain breads,0.605,0.0055,0.602,1.078536189
6,Whole-grain breads,0.607,0.0056,0.6,1.067746953
7,Whole-grain breads,0.608,0.0053,0.602,1.083768397
8,Whole-grain breads,0.608,0.0054,0.593,1.088149117
9,Whole-grain breads,0.602,0.005,0.591,1.085437876
10,Whole-grain breads,0.602,0.0052,0.593,1.088511865
11,Whole-grain breads,0.6,0.0048,0.601,1.082253244
12,Whole-grain breads,0.606,0.005,0.603,1.090015301
1,Whole-grain breads,0.574,0.003,0.564,1.0268794
2,Whole-grain breads,0.586,0.003,0.577,1.044422128
3,Whole-grain breads,0.585,0.0031,0.573,1.03804952
4,Whole-grain breads,0.594,0.0027,0.591,1.048259303
5,Whole-grain breads,0.604,0.0031,0.597,1.042915456
6,Whole-grain breads,0.597,0.0027,0.59,1.031432169
7,Whole-grain breads,0.61,0.0035,0.6,1.063144616
8,Whole-grain breads,0.599,0.0024,0.586,1.05129527
9,Whole-grain breads,0.595,0.0024,0.586,1.059388658
10,Whole-grain breads,0.602,0.0026,0.591,1.06937634
11,Whole-grain breads,0.582,0.0024,0.585,1.044250734
12,Whole-grain breads,0.597,0.0023,0.594,1.06716358
1,Whole-grain rice and pasta,0.584,0.0012,0.589,0.997085014
2,Whole-grain rice and pasta,0.585,0.0013,0.589,0.996652698
3,Whole-grain rice and pasta,0.587,0.0011,0.59,0.991077657
4,Whole-grain rice and pasta,0.593,0.0011,0.596,0.991214618
5,Whole-grain rice and pasta,0.601,0.0012,0.599,0.995673501
6,Whole-grain rice and pasta,0.603,0.001,0.6,1.004722135
7,Whole-grain rice and pasta,0.613,0.0011,0.612,1.007320743
8,Whole-grain rice and pasta,0.607,0.0012,0.605,1.003131388
9,Whole-grain rice and pasta,0.587,0.0014,0.59,0.99519689
10,Whole-grain rice and pasta,0.596,0.0013,0.6,1.00073372
11,Whole-grain rice and pasta,0.598,0.0012,0.6,1.001287778
12,Whole-grain rice and pasta,0.588,0.0015,0.592,1.006021813
1,Whole-grain rice and pasta,0.604,0.0037,0.601,1.016824547
2,Whole-grain rice and pasta,0.598,0.0039,0.6,1.010331669
3,Whole-grain rice and pasta,0.606,0.0039,0.599,1.010957631
4,Whole-grain rice and pasta,0.617,0.0039,0.615,1.020585625
5,Whole-grain rice and pasta,0.628,0.0042,0.622,1.021851217
6,Whole-grain rice and pasta,0.633,0.0037,0.63,1.028806271
7,Whole-grain rice and pasta,0.639,0.0041,0.641,1.036094243
8,Whole-grain rice and pasta,0.623,0.0042,0.623,1.021578125
9,Whole-grain rice and pasta,0.593,0.0047,0.609,1.015469508
10,Whole-grain rice and pasta,0.588,0.0041,0.606,1.022016096
11,Whole-grain rice and pasta,0.583,0.0039,0.593,1.013649252
12,Whole-grain rice and pasta,0.577,0.0039,0.591,1.019972184
1,Whole-grain rice and pasta,0.579,0.0027,0.581,0.9793611
2,Whole-grain rice and pasta,0.577,0.0024,0.581,0.978016452
3,Whole-grain rice and pasta,0.579,0.0028,0.589,0.976701937
4,Whole-grain rice and pasta,0.587,0.002,0.59,0.979052944
5,Whole-grain rice and pasta,0.591,0.0022,0.588,0.975633253
6,Whole-grain rice and pasta,0.592,0.0017,0.59,0.986399317
7,Whole-grain rice and pasta,0.598,0.0021,0.6,0.986540596
8,Whole-grain rice and pasta,0.592,0.0018,0.594,0.979944756
9,Whole-grain rice and pasta,0.573,0.0038,0.578,0.968670497
10,Whole-grain rice and pasta,0.588,0.0029,0.591,0.977651193
11,Whole-grain rice and pasta,0.596,0.0027,0.601,0.975353749
12,Whole-grain rice and pasta,0.582,0.0034,0.585,0.978636702
1,Whole-grain rice and pasta,0.582,0.0011,0.593,0.982675549
2,Whole-grain rice and pasta,0.589,0.001,0.592,0.980199647
3,Whole-grain rice and pasta,0.582,0.001,0.589,0.968484997
4,Whole-grain rice and pasta,0.584,0.0008,0.589,0.959107685
5,Whole-grain rice and pasta,0.599,0.001,0.602,0.974000558
6,Whole-grain rice and pasta,0.593,0.0009,0.593,0.977028312
7,Whole-grain rice and pasta,0.604,0.001,0.606,0.981860088
8,Whole-grain rice and pasta,0.605,0.001,0.606,0.98274945
9,Whole-grain rice and pasta,0.589,0.0011,0.59,0.975743882
10,Whole-grain rice and pasta,0.603,0.0011,0.608,0.978578336
11,Whole-grain rice and pasta,0.598,0.0009,0.602,0.978844826
12,Whole-grain rice and pasta,0.593,0.0009,0.595,0.987672545
1,Whole-grain rice and pasta,0.574,0.0033,0.576,1.021176318
2,Whole-grain rice and pasta,0.575,0.0035,0.577,1.025740866
3,Whole-grain rice and pasta,0.582,0.0021,0.583,1.020051314
4,Whole-grain rice and pasta,0.59,0.0022,0.591,1.0276194
5,Whole-grain rice and pasta,0.585,0.0019,0.577,1.022056052
6,Whole-grain rice and pasta,0.599,0.0021,0.591,1.039968092
7,Whole-grain rice and pasta,0.613,0.0022,0.602,1.038009735
8,Whole-grain rice and pasta,0.605,0.0025,0.595,1.037707216
9,Whole-grain rice and pasta,0.59,0.0023,0.578,1.025636919
10,Whole-grain rice and pasta,0.602,0.0022,0.587,1.033934123
11,Whole-grain rice and pasta,0.616,0.0021,0.605,1.04513205
12,Whole-grain rice and pasta,0.598,0.0041,0.591,1.043386864
1,Whole-grain rice and pasta,0.589,0.0069,0.572,0.974492265
2,Whole-grain rice and pasta,0.578,0.0076,0.558,0.957197399
3,Whole-grain rice and pasta,0.575,0.0042,0.564,0.955957725
4,Whole-grain rice and pasta,0.575,0.0038,0.565,0.946071239
5,Whole-grain rice and pasta,0.595,0.009,0.572,0.948959312
6,Whole-grain rice and pasta,0.582,0.0069,0.564,0.951629933
7,Whole-grain rice and pasta,0.594,0.0109,0.569,0.964726754
8,Whole-grain rice and pasta,0.582,0.0102,0.557,0.965172369
9,Whole-grain rice and pasta,0.571,0.0115,0.548,0.961291056
10,Whole-grain rice and pasta,0.591,0.0114,0.568,0.955956315
11,Whole-grain rice and pasta,0.589,0.0055,0.574,0.960669945
12,Whole-grain rice and pasta,0.582,0.007,0.563,0.975185223
1,Whole-grain rice and pasta,0.643,0.0055,0.637,0.991817064
2,Whole-grain rice and pasta,0.656,0.0075,0.639,0.998143837
3,Whole-grain rice and pasta,0.663,0.0085,0.644,0.994017761
4,Whole-grain rice and pasta,0.675,0.0072,0.657,1.005129644
5,Whole-grain rice and pasta,0.682,0.0059,0.668,1.00247426
6,Whole-grain rice and pasta,0.7,0.0076,0.678,1.010731751
7,Whole-grain rice and pasta,0.703,0.0074,0.684,1.011841791
8,Whole-grain rice and pasta,0.692,0.0065,0.674,1.00129931
9,Whole-grain rice and pasta,0.669,0.0093,0.651,0.991016306
10,Whole-grain rice and pasta,0.661,0.0074,0.646,1.0023524
11,Whole-grain rice and pasta,0.645,0.0079,0.627,0.986763993
12,Whole-grain rice and pasta,0.635,0.0073,0.615,0.993752274
1,Whole-grain rice and pasta,0.588,0.0049,0.608,1.005569966
2,Whole-grain rice and pasta,0.578,0.0118,0.61,0.99127755
3,Whole-grain rice and pasta,0.59,0.0071,0.623,0.992391223
4,Whole-grain rice and pasta,0.595,0.0089,0.612,0.995282863
5,Whole-grain rice and pasta,0.611,0.0089,0.632,1.001356023
6,Whole-grain rice and pasta,0.619,0.0087,0.637,1.020863184
7,Whole-grain rice and pasta,0.627,0.0147,0.656,1.026024751
8,Whole-grain rice and pasta,0.602,0.0086,0.63,1.005844181
9,Whole-grain rice and pasta,0.559,0.0226,0.604,0.98225177
10,Whole-grain rice and pasta,0.579,0.0165,0.61,1.001479685
11,Whole-grain rice and pasta,0.595,0.017,0.631,1.009682785
12,Whole-grain rice and pasta,0.565,0.0219,0.606,1.010353829
1,Whole-grain rice and pasta,0.576,0.0024,0.572,0.957551972
2,Whole-grain rice and pasta,0.576,0.0023,0.569,0.960119857
3,Whole-grain rice and pasta,0.58,0.0021,0.577,0.958351775
4,Whole-grain rice and pasta,0.574,0.002,0.574,0.952282974
5,Whole-grain rice and pasta,0.573,0.0026,0.567,0.949034766
6,Whole-grain rice and pasta,0.582,0.0031,0.572,0.961204873
7,Whole-grain rice and pasta,0.595,0.0029,0.585,0.959370401
8,Whole-grain rice and pasta,0.597,0.0028,0.59,0.961289627
9,Whole-grain rice and pasta,0.586,0.0028,0.58,0.956614956
10,Whole-grain rice and pasta,0.601,0.0026,0.597,0.967973738
11,Whole-grain rice and pasta,0.605,0.0019,0.603,0.977277783
12,Whole-grain rice and pasta,0.596,0.0019,0.593,0.977741295
1,Whole-grain rice and pasta,0.539,0.0316,0.561,0.981152023
2,Whole-grain rice and pasta,0.548,0.0155,0.557,0.968196405
3,Whole-grain rice and pasta,0.572,0.0208,0.58,0.974618225
4,Whole-grain rice and pasta,0.577,0.0138,0.573,0.966668986
5,Whole-grain rice and pasta,0.582,0.0214,0.549,0.947758915
6,Whole-grain rice and pasta,0.58,0.0126,0.564,0.97125963
7,Whole-grain rice and pasta,0.578,0.0101,0.574,0.972734747
8,Whole-grain rice and pasta,0.578,0.0105,0.569,0.983175814
9,Whole-grain rice and pasta,0.546,0.0113,0.542,0.964446343
10,Whole-grain rice and pasta,0.585,0.0112,0.563,0.958629723
11,Whole-grain rice and pasta,0.603,0.0115,0.586,0.975534497
12,Whole-grain rice and pasta,0.568,0.008,0.567,0.96089334
1,Whole-grain rice and pasta,0.569,0.006,0.553,0.965391723
2,Whole-grain rice and pasta,0.558,0.0049,0.549,0.956467895
3,Whole-grain rice and pasta,0.56,0.0042,0.557,0.955566956
4,Whole-grain rice and pasta,0.552,0.0028,0.557,0.951754312
5,Whole-grain rice and pasta,0.561,0.004,0.557,0.954505021
6,Whole-grain rice and pasta,0.561,0.0055,0.548,0.967221771
7,Whole-grain rice and pasta,0.568,0.0056,0.553,0.965170628
8,Whole-grain rice and pasta,0.554,0.0058,0.555,0.967563481
9,Whole-grain rice and pasta,0.545,0.0046,0.544,0.960566024
10,Whole-grain rice and pasta,0.562,0.003,0.565,0.970716456
11,Whole-grain rice and pasta,0.568,0.0059,0.576,0.975203884
12,Whole-grain rice and pasta,0.558,0.0029,0.562,0.988685868
1,Whole-grain rice and pasta,0.539,0.0095,0.555,1.028138133
2,Whole-grain rice and pasta,0.543,0.0104,0.554,1.02930437
3,Whole-grain rice and pasta,0.555,0.0051,0.555,1.021488318
4,Whole-grain rice and pasta,0.564,0.0045,0.561,1.022396147
5,Whole-grain rice and pasta,0.567,0.0046,0.553,1.033560411
6,Whole-grain rice and pasta,0.573,0.0056,0.557,1.058157654
7,Whole-grain rice and pasta,0.579,0.0079,0.556,1.039993761
8,Whole-grain rice and pasta,0.575,0.0102,0.551,1.055827767
9,Whole-grain rice and pasta,0.564,0.0099,0.544,1.032535018
10,Whole-grain rice and pasta,0.575,0.0089,0.55,1.036060845
11,Whole-grain rice and pasta,0.593,0.0066,0.567,1.055037658
12,Whole-grain rice and pasta,0.56,0.0099,0.55,1.042835197
1,Whole-grain rice and pasta,0.609,0.0058,0.65,1.020887111
2,Whole-grain rice and pasta,0.627,0.006,0.656,1.007464478
3,Whole-grain rice and pasta,0.591,0.0073,0.625,0.96904956
4,Whole-grain rice and pasta,0.599,0.0041,0.619,0.981627359
5,Whole-grain rice and pasta,0.649,0.0051,0.66,1.005344232
6,Whole-grain rice and pasta,0.623,0.0032,0.625,0.996208393
7,Whole-grain rice and pasta,0.644,0.0036,0.651,1.003910336
8,Whole-grain rice and pasta,0.641,0.0027,0.643,1.008399228
9,Whole-grain rice and pasta,0.634,0.0037,0.627,1.010737868
10,Whole-grain rice and pasta,0.644,0.0044,0.649,1.002416374
11,Whole-grain rice and pasta,0.628,0.0038,0.629,0.99724903
12,Whole-grain rice and pasta,0.627,0.0044,0.632,1.021628863
1,Whole-grain rice and pasta,0.602,0.0105,0.578,1.051510741
2,Whole-grain rice and pasta,0.587,0.0107,0.581,1.037808787
3,Whole-grain rice and pasta,0.608,0.0107,0.581,1.049302081
4,Whole-grain rice and pasta,0.615,0.0106,0.598,1.059243505
5,Whole-grain rice and pasta,0.621,0.0118,0.599,1.055649845
6,Whole-grain rice and pasta,0.624,0.0101,0.611,1.069008751
7,Whole-grain rice and pasta,0.622,0.011,0.625,1.076219192
8,Whole-grain rice and pasta,0.6,0.0108,0.592,1.055269351
9,Whole-grain rice and pasta,0.554,0.0107,0.581,1.048644467
10,Whole-grain rice and pasta,0.557,0.0093,0.581,1.059459279
11,Whole-grain rice and pasta,0.56,0.0096,0.566,1.049141809
12,Whole-grain rice and pasta,0.549,0.0096,0.572,1.061808295
1,Whole-grain rice and pasta,0.621,0.0041,0.598,1.014547168
2,Whole-grain rice and pasta,0.603,0.003,0.588,0.988845086
3,Whole-grain rice and pasta,0.614,0.0039,0.589,1.000372988
4,Whole-grain rice and pasta,0.625,0.0037,0.606,1.002221978
5,Whole-grain rice and pasta,0.637,0.0041,0.61,1.017923477
6,Whole-grain rice and pasta,0.637,0.0035,0.616,1.011980236
7,Whole-grain rice and pasta,0.653,0.004,0.628,1.03427717
8,Whole-grain rice and pasta,0.639,0.0041,0.61,1.007831204
9,Whole-grain rice and pasta,0.615,0.0039,0.6,0.99736362
10,Whole-grain rice and pasta,0.61,0.0042,0.6,1.011424
11,Whole-grain rice and pasta,0.602,0.0038,0.59,1.011364123
12,Whole-grain rice and pasta,0.601,0.0037,0.585,1.012910263
1,Whole-grain breakfast grains,0.427,0.0012,0.428,0.978601022
2,Whole-grain breakfast grains,0.428,0.0011,0.428,0.981011242
3,Whole-grain breakfast grains,0.43,0.0013,0.428,0.989441924
4,Whole-grain breakfast grains,0.43,0.0013,0.431,0.999011264
5,Whole-grain breakfast grains,0.429,0.0013,0.433,1.010423585
6,Whole-grain breakfast grains,0.43,0.0012,0.429,1.015012036
7,Whole-grain breakfast grains,0.432,0.0012,0.433,1.018666726
8,Whole-grain breakfast grains,0.433,0.0013,0.433,1.012081871
9,Whole-grain breakfast grains,0.432,0.0012,0.434,1.000976314
10,Whole-grain breakfast grains,0.431,0.0012,0.432,0.994658192
11,Whole-grain breakfast grains,0.428,0.0012,0.429,0.991143104
12,Whole-grain breakfast grains,0.435,0.0013,0.433,1.006490532
1,Whole-grain breakfast grains,0.472,0.0031,0.457,1.013418691
2,Whole-grain breakfast grains,0.48,0.0033,0.461,1.015396459
3,Whole-grain breakfast grains,0.48,0.0038,0.46,1.024487921
4,Whole-grain breakfast grains,0.477,0.0033,0.467,1.048646961
5,Whole-grain breakfast grains,0.482,0.0029,0.47,1.055879322
6,Whole-grain breakfast grains,0.482,0.0031,0.469,1.065368609
7,Whole-grain breakfast grains,0.484,0.0032,0.469,1.058337425
8,Whole-grain breakfast grains,0.49,0.0031,0.474,1.058092722
9,Whole-grain breakfast grains,0.483,0.0033,0.465,1.045271251
10,Whole-grain breakfast grains,0.488,0.0032,0.468,1.041478654
11,Whole-grain breakfast grains,0.484,0.0031,0.469,1.036706242
12,Whole-grain breakfast grains,0.491,0.0031,0.473,1.055499777
1,Whole-grain breakfast grains,0.395,0.0033,0.407,0.964791771
2,Whole-grain breakfast grains,0.39,0.0032,0.401,0.959279271
3,Whole-grain breakfast grains,0.388,0.0033,0.399,0.957376145
4,Whole-grain breakfast grains,0.394,0.0035,0.405,0.971359941
5,Whole-grain breakfast grains,0.393,0.0038,0.406,0.986894151
6,Whole-grain breakfast grains,0.393,0.0037,0.408,0.993736192
7,Whole-grain breakfast grains,0.393,0.0039,0.407,0.989670853
8,Whole-grain breakfast grains,0.39,0.0037,0.404,0.97973598
9,Whole-grain breakfast grains,0.386,0.0034,0.404,0.961144842
10,Whole-grain breakfast grains,0.38,0.0032,0.4,0.948308855
11,Whole-grain breakfast grains,0.386,0.0029,0.402,0.954019088
12,Whole-grain breakfast grains,0.394,0.0033,0.405,0.968841328
1,Whole-grain breakfast grains,0.414,0.001,0.414,0.945169684
2,Whole-grain breakfast grains,0.408,0.0011,0.408,0.94132093
3,Whole-grain breakfast grains,0.414,0.0012,0.411,0.956731971
4,Whole-grain breakfast grains,0.409,0.0012,0.41,0.95242298
5,Whole-grain breakfast grains,0.412,0.0013,0.415,0.976495456
6,Whole-grain breakfast grains,0.407,0.0013,0.405,0.970500063
7,Whole-grain breakfast grains,0.415,0.0013,0.417,0.986324574
8,Whole-grain breakfast grains,0.415,0.0013,0.415,0.977884319
9,Whole-grain breakfast grains,0.416,0.0013,0.418,0.971247081
10,Whole-grain breakfast grains,0.414,0.0013,0.415,0.964169528
11,Whole-grain breakfast grains,0.411,0.0011,0.408,0.958345441
12,Whole-grain breakfast grains,0.415,0.001,0.413,0.963267616
1,Whole-grain breakfast grains,0.438,0.0032,0.445,1.016165215
2,Whole-grain breakfast grains,0.448,0.0023,0.451,1.028654847
3,Whole-grain breakfast grains,0.448,0.0025,0.45,1.032595402
4,Whole-grain breakfast grains,0.451,0.0029,0.452,1.049665518
5,Whole-grain breakfast grains,0.44,0.0026,0.447,1.042525833
6,Whole-grain breakfast grains,0.451,0.0026,0.451,1.05336726
7,Whole-grain breakfast grains,0.448,0.0025,0.45,1.056994577
8,Whole-grain breakfast grains,0.451,0.0029,0.451,1.051679369
9,Whole-grain breakfast grains,0.449,0.0023,0.454,1.037271231
10,Whole-grain breakfast grains,0.451,0.0026,0.455,1.030486135
11,Whole-grain breakfast grains,0.444,0.0024,0.451,1.027841524
12,Whole-grain breakfast grains,0.454,0.0029,0.453,1.065616361
1,Whole-grain breakfast grains,0.413,0.0035,0.407,0.910814767
2,Whole-grain breakfast grains,0.408,0.0043,0.401,0.907593895
3,Whole-grain breakfast grains,0.412,0.0052,0.405,0.914854725
4,Whole-grain breakfast grains,0.412,0.0048,0.406,0.910563371
5,Whole-grain breakfast grains,0.423,0.0077,0.413,0.962639499
6,Whole-grain breakfast grains,0.405,0.0042,0.401,0.933355866
7,Whole-grain breakfast grains,0.429,0.0081,0.417,0.973346154
8,Whole-grain breakfast grains,0.422,0.0071,0.414,0.951101763
9,Whole-grain breakfast grains,0.426,0.0077,0.417,0.957695194
10,Whole-grain breakfast grains,0.421,0.0068,0.41,0.941768714
11,Whole-grain breakfast grains,0.402,0.0032,0.4,0.902998985
12,Whole-grain breakfast grains,0.404,0.0031,0.399,0.899900364
